;EPIC;TITLE;;REQUIREMENT;;USE CASE;COMMENTS/QUESTIONS;MOSCOW;Uniform;COMMENT COMMERCE;INPUT DPX (TO BE REMOVED);;
10;Evidence & research;Inference labelling;AI Lab / admin;Clearly distinguish evidence from inference;The analysis remains transparent and avoids overclaiming;When root cause or workflow details are inferred from public evidence, label them as inference and keep them minimal.;Important for externally researched prospects where internal workflows are not fully visible.;M;;;;;
11;Evidence & research;Recency awareness;AI Lab / admin;Prioritise recent sources and transformation signals;The output reflects the prospect’s current situation;Prefer sources from the last 24 to 36 months for transformation, tooling, operating model and AI-related claims.;Older sources may be used for context, but should not dominate current pain point conclusions.;S;;;;;
12;Evidence & research;Organisation and role signal extraction;AI Lab / admin;Detect relevant roles and hiring signals;Operating model and capability gaps become more visible;Identify leadership roles, job posts or team structures related to marketing ops, digital, content, creative, commerce, DAM, AI or analytics.;Role signals are supporting evidence and should not alone drive high-confidence conclusions.;S;;;;;
13;CVC analysis framework;Mandatory six-step CVC structure;AI Lab / admin;Organise findings by the six CVC steps;The output maps directly to FFD’s Content Value Chain language;Use six sections: Briefing, Asset Creation, Asset Management, Intelligent Content Assembly / Modularisation, Omnichannel Publishing, Optimisation / Performance Learning.;This is a core requirement from the prompt.;M;;;;;
14;CVC analysis framework;Pain point detection per CVC step;AI Lab / admin;Identify global-to-local pain points for each CVC step;The agent reveals where content operations friction occurs;For each CVC step, list concrete pain points related to creation, adaptation, localisation, approval, distribution or optimisation.;If a CVC step has little evidence, state no strong public evidence found rather than inventing a pain point.;M;;;;;
15;CVC analysis framework;Job-to-be-done failure phrasing;AI Lab / admin;Phrase pain points as failure of a job to be done;Pain points become sharper and more actionable;Example pattern: Local markets cannot efficiently adapt global hero assets into channel-ready variants without rework.;Avoid generic pain point labels such as slow process or poor tooling.;M;;;;;
16;CVC analysis framework;Root cause categorisation;AI Lab / admin;Link each pain point to likely root causes;FFD can translate findings into solution hypotheses;Root causes must be categorised as process, governance, tooling, capability and/or operating model.;If root cause is inferred, label it as likely or inferred.;M;;;;;
17;CVC analysis framework;Stakeholder impact mapping;AI Lab / admin;Identify who is impacted by each pain point;FFD can understand stakeholder relevance and buying committee implications;Include impacted groups such as global marketing, regional teams, local markets, agencies, digital commerce, creative operations and brand governance.;"Use public role evidence where available; otherwise use generic stakeholder groups.";M;;;;;
18;CVC analysis framework;Severity rating;AI Lab / admin;Rate severity of each pain point;Users can prioritise the most material issues;Use High, Medium or Low severity based on business impact, frequency/scale signals and executive relevance.;Severity should not be presented as exact measurement unless supported by sources.;M;;;;;
19;CVC analysis framework;Confidence rating;AI Lab / admin;Rate confidence for each pain point or major claim;Users can distinguish strong evidence from weak evidence;Use High, Medium or Low confidence. Confidence should reflect source quality, recency and triangulation.;Confidence is mandatory for the pain point inventory.;M;;;;;
20;Workflow mapping;Global-to-local workflow map;AI Lab / admin;Map who does what from global to regional to local;The operating model and handoffs become visible;Produce a text-based workflow map covering global brief, master asset creation, regional adaptation, local execution, approvals, publishing and feedback.;Should include agencies where evidence or logical workflow role indicates agency involvement.;S;;;;;
21;Workflow mapping;Handoff and approval identification;AI Lab / admin;Identify key handoffs and approval moments;FFD can spot workflow friction and governance bottlenecks;Highlight likely handoffs between global, regional, local, agencies, legal/compliance and brand governance.;If exact approvals are unknown, mark as inference and include in unknowns.;M;;;;;
22;Workflow mapping;Operating model signal assessment;AI Lab / admin;Assess whether the model appears centralised, federated or decentralised;The analysis can inform FFD’s operating model conversation;Use evidence from organisation design, regional empowerment, embedded teams, governance and tooling investments.;Use cautious language if public evidence is limited.;M;;;;;
23;Workflow mapping;Global-to-local friction patterns;AI Lab / admin;Extract recurring patterns of localisation friction;The output reveals where FFD can create value;Look for signals around approvals, localisation, templates, modularity, asset reuse, rights/compliance, channel variants, agency model and measurement loops.;These patterns should feed into the pain point inventory.;M;;;;;
24;Deliverable output;Executive summary;Business development / program manager;Receive a concise executive summary;Sales and strategy teams can quickly understand the opportunity;Executive summary must contain 8 to 12 bullets covering top global-to-local pain points and why they matter.;Crisp, non-fluffy, consultant-ready tone.;M;;;;;
25;Deliverable output;Pain point inventory table;Business development / program manager;Receive a structured pain point inventory;Findings can be reviewed, filtered and translated into action;Required columns: CVC step, pain point, who is impacted, evidence, likely root causes, severity and confidence.;This is the central deliverable of the agent.;M;;;;;
26;Deliverable output;Technology and tooling signals section;AI Lab / admin;Identify tooling signals and their relevance;Potential Adobe, MarTech and Content Supply Chain opportunities become visible;Include mentions of DAM, workflow tools, GenAI content platforms, approval tooling, PIM, CMS, analytics or performance tooling.;Explain how each signal relates to global-to-local friction.;M;;;;;
28;Deliverable output;Opportunity recommendations;Business development / program manager;Receive intervention opportunities;The output becomes commercially actionable for FFD;Opportunities may include process, operating model, governance, modular content, templates, automation/AI and performance learning improvements.;Each opportunity must map back to one or more pain points.;M;;;;;
29;Deliverable output;What we still do not know section;AI Lab / admin;See key information gaps and next best sources;Discovery conversations can be prepared more intelligently;Include unknowns around bottlenecks, tool adoption, modularity, agency role, feedback loops, division differences and channel differences where relevant.;Also propose next best stakeholder interviews or source types to close gaps.;M;;;;;
30;Deliverable output;Full source list;Business development / program manager;Receive a complete source appendix;The deliverable is auditable and reusable;List all sources used, including URL, source type and date where available.;Must be included in final deliverable document.;M;;;;;
31;Deliverable output;Consultant-ready writing style;Business development / program manager;Receive concise, sharp and non-fluffy output;The deliverable can be used directly in FFD business development workflows;Use clear headings, bullet points, tables and explicit confidence labels. Avoid long generic prose.;Tone should match the Coty example deliverable.;M;;;;;
32;Deliverable output;Word-style narrative report export;Business development / program manager;Receive the final output as a structured report document;The deliverable can be shared internally and prepared for prospect conversations;Generate a final report similar to the Coty pain point research output, with executive summary, workflow map, CVC pain points, tooling signals, unknowns, opportunities and source list.;Implementation format to be confirmed by AI Lab: Word document, structured Markdown, or app-generated report.;M;;;;;
33;Commercial relevance;Opportunity-to-pain mapping;Business development / program manager;Map each opportunity to specific pain points;Recommendations are grounded and not generic;Every recommended intervention should reference related CVC step(s), pain point(s) and root cause(s).;This prevents generic FFD capability pitching.;M;;;;;
34;Commercial relevance;FFD solution relevance notes;AI Lab / admin;Highlight where FFD capabilities may be relevant;The analysis can support ABM and sales preparation;Map pain areas to themes such as Content Value Chain, Content Operating Model, modular content, content supply chain, DAM, workflow and AI-enabled content operations.;Keep as opportunity hypotheses, not a hard sales pitch.;S;;;;;
35;Commercial relevance;Adobe relevance detection;AI Lab / admin;Identify Adobe-related signals if present;Adobe partnership or solution fit can be assessed;Detect references to Adobe Experience Cloud, AEM, DAM, Workfront, GenStudio, Firefly, Analytics, Campaign, AJO, RT-CDP or related roles/projects.;"Only include when evidence exists; no assumption based on company size.";M;;;;;
36;Commercial relevance;Buying trigger detection;Business development / program manager;Surface signals that may indicate urgency;FFD can prioritise timely outreach or discovery;Detect transformation programs, AI initiatives, cost reduction, reorganisation, regional model changes, performance pressure or executive statements.;Must be evidence-backed and tied to possible CVC pain. Avoid self-fulfilling prophecies.;S;;;;;
37;Commercial relevance;Stakeholder hypothesis section;Business development / program manager;Identify likely stakeholder groups for discovery;Sales preparation becomes more targeted;Suggest likely stakeholders such as CMO, VP Marketing, Global Brand Lead, Content Operations, Creative Operations, Digital Commerce, Marketing Technology and regional/local marketing leads.;Must be framed as likely stakeholder groups unless named individuals are sourced.;M;;;;;
38;Quality control;No unsupported definitive claims;AI Lab / admin;Prevent unsupported conclusions;The output remains credible and client-safe;Agent should not state internal process details as fact unless directly supported by evidence.;Use phrases such as public evidence suggests when required.;M;;;;;
39;Quality control;Low-evidence fallback;AI Lab / admin;Handle limited public evidence gracefully;The agent still produces useful output without inventing details;If evidence is limited, produce a shorter report, lower confidence ratings and a clear unknowns section.;Do not force all CVC steps to have high-severity pain points.;M;;;;;
40;Quality control;Duplicate and relevance filtering;AI Lab / admin;Remove irrelevant or duplicate findings;The final report stays concise and useful;Merge similar pain points, remove generic company facts and exclude sources that do not support CVC/global-to-local analysis.;Important for consultant-ready quality.;M;;;;;
41;Quality control;Agent version and run metadata;AI Lab / admin;Track when and how the report was generated;Outputs remain auditable over time;Include prospect name, date of run, agent version, prompt version and research scope in the final output.;Useful when reports are refreshed over time.;M;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
